,stage,num_sms,nvl_chunk_size,throughput,latency
74,dispatch,112,22,496.5699643686042,180.75951112776386
75,dispatch,106,22,492.9415142740125,181.10955035199922
76,dispatch,108,22,491.1521596441886,181.41910251306027
77,dispatch,100,22,491.035756911438,181.7874294154498
78,dispatch,102,24,492.53799251242697,182.01469401923976
79,dispatch,104,22,490.2844444744688,182.24979602560705
80,dispatch,98,22,488.82665433868584,183.0530622783972
81,dispatch,94,24,486.549699646797,184.04440916314414
82,dispatch,96,22,484.91524419377623,184.39445051611688
83,dispatch,92,24,483.3200760308517,185.69795969797644
84,dispatch,90,24,481.57952498898663,186.11395906428902
85,dispatch,86,40,477.30401293553075,186.57110266539516
86,dispatch,88,24,473.59545213290573,187.53044945853097
87,dispatch,84,26,473.76268006632984,188.52767378700025
88,dispatch,78,16,473.5939627782657,189.70187768644217
89,dispatch,82,16,473.3617395201034,190.33142833077176
90,dispatch,76,16,468.3935656576637,190.61877563291662
91,dispatch,80,14,467.12665424055297,190.7324088471277
92,dispatch,54,40,468.24513242338963,190.8891429098285
93,dispatch,74,16,468.5978272003674,190.97273355844072
94,dispatch,50,42,462.9648081962785,192.7301220747889
95,dispatch,60,24,462.2990981977532,192.9456327034503
96,dispatch,72,16,465.5831633685296,192.96587821172213
97,dispatch,52,40,461.6117801704031,193.44587776125692
98,dispatch,58,26,461.6795946957792,193.47069488496197
99,dispatch,70,18,462.19358324247236,194.0708552696267
100,dispatch,56,28,462.2217680559672,194.13877537055893
101,dispatch,64,24,457.6030589112486,194.2543658066769
102,dispatch,68,16,463.5424010802053,194.43395855475447
103,dispatch,62,22,462.8309387507992,194.96293882934418
104,dispatch,66,18,456.923981504709,195.43053027318444
105,dispatch,48,46,455.79014484776906,197.02203967133352
106,dispatch,46,46,448.54295735317754,198.83559096832664
107,dispatch,44,48,442.48349050585415,202.8081632998525
108,dispatch,42,52,432.5714285106933,207.85306211636993
109,dispatch,40,54,419.97653159323613,213.48179542288491
