,stage,num_sms,nvl_chunk_size,throughput,latency
0,combine,80,16,446.58218175738693,200.36897945160771
1,combine,76,17,446.1835919427445,200.69485659501993
2,combine,72,19,441.83148179611754,202.857142808486
3,combine,64,20,443.64486235090715,203.08048992740865
4,combine,60,20,439.56866904959554,204.38595906812313
5,combine,68,18,433.2533240490361,205.54057189396448
6,combine,56,21,435.0262393375255,205.71036849703108
7,combine,52,21,427.44383755275624,209.84816277513698
8,combine,78,17,425.29628480660944,210.2432661518759
9,combine,74,17,425.66812793091157,210.84865441127695
10,combine,62,18,421.51938743135986,211.36914376093415
11,combine,66,17,419.88171587786667,212.72032723134876
12,combine,48,26,418.66592243379085,213.28914347960023
13,combine,70,16,415.27076391971633,213.86906018062515
14,combine,58,19,417.0199031814051,214.10155083451951
15,combine,54,21,418.6181005267552,214.61485752037598
16,combine,50,21,416.2705455085839,216.51395942483632
17,combine,44,30,414.284482010177,217.80897889818465
18,combine,46,21,403.79407441959995,220.14040728004616
19,combine,40,36,402.4750647660793,221.9304494103607
20,combine,42,28,393.878777709522,226.46204123691635
21,combine,36,30,387.9466661619888,230.4000002997262
22,combine,38,33,386.1297536230195,232.3964086114144
23,combine,32,45,373.461098355231,238.9198350054877
24,combine,34,33,373.1894623770263,239.28032541761596
25,combine,30,41,357.2472573497493,251.36849101708862
26,combine,28,51,347.21215727083717,256.86400125221326
27,combine,26,44,327.9583710696524,273.6300455064189
28,combine,24,51,316.3104922705193,284.2501219438047
29,combine,22,48,292.8150687552401,306.1910180412993
30,dispatch,78,16,475.7376114234576,187.95167305031603
31,dispatch,80,15,472.46321464793687,189.39297965594696
32,dispatch,76,16,470.7865417580826,190.20669466378735
33,dispatch,74,17,471.06590513643073,190.52865219359495
34,dispatch,72,17,467.69411774445393,191.6395109526965
35,dispatch,60,24,468.09887856118837,191.92881699727505
36,dispatch,54,40,467.89191371893475,192.01371377828167
37,dispatch,56,27,465.4700400218488,192.25599996897643
38,dispatch,58,26,463.7888104432017,192.51134565898354
39,dispatch,52,41,465.61552872625583,192.64457146732175
40,dispatch,62,23,462.1390946148139,192.79085677497238
41,dispatch,50,42,466.4502040006357,193.22187711997907
42,dispatch,68,18,460.2543358565504,193.48244886009064
43,dispatch,66,23,460.3872199266073,194.00489877681346
44,dispatch,70,17,457.2101132755967,194.25110123595414
45,dispatch,64,24,460.44934810942897,195.6688968502745
46,dispatch,48,45,455.7087667269633,195.95167466572352
47,dispatch,46,46,447.05094948105176,198.83951058193125
48,dispatch,44,49,445.45224828076095,202.56914259219653
49,dispatch,42,51,427.9954868415001,208.41012286896608
50,dispatch,40,53,418.85809714069694,213.24995889955633
51,dispatch,38,42,405.6043043689548,221.23820441109794
52,dispatch,36,59,391.61864550477793,228.23967404511512
53,dispatch,34,62,375.6861878706916,237.6901224559667
54,dispatch,32,47,359.63109648673316,248.10775506253145
55,dispatch,30,51,347.2354691956806,258.61616098150915
56,dispatch,28,55,329.3847177221293,270.7663689340864
57,dispatch,26,59,311.7813122773807,287.82759089859167
58,dispatch,24,63,294.79002999599936,305.0011426818614
59,dispatch,22,55,274.3714835950108,326.77355104563185
