,stage,num_sms,nvl_chunk_size,throughput,latency
0,combine,100,20,454.93204104479264,196.21420332363672
1,combine,96,22,455.56795534890546,196.27297958549187
2,combine,92,16,451.04057937203095,198.98775432791024
3,combine,84,16,448.29368910485465,199.23853083532683
4,combine,80,16,445.27014114978545,200.09469256109122
5,combine,88,20,443.46400619720623,200.27232595852445
6,combine,76,18,442.56173436847655,201.74497943751663
7,combine,72,18,443.98631758238935,202.35232583114077
8,combine,64,20,436.3119933757746,203.73355156304885
9,combine,94,18,437.2860148135683,204.77844926775717
10,combine,98,18,436.87820714294895,204.81959167791874
11,combine,60,18,434.1859373572534,205.4386941754088
12,combine,68,18,438.4247227589706,205.5732245956148
13,combine,90,20,432.24928745428747,207.3541231909577
14,combine,56,20,431.4841028865437,207.9686537689092
15,combine,86,16,427.40447626075905,208.35330687007124
16,combine,82,16,431.1930149166441,208.94498028317275
17,combine,52,24,425.1155672128472,210.0532252569588
18,combine,74,14,423.3077819786924,211.40506224972862
19,combine,78,16,423.83757476123446,211.97191884323044
20,combine,62,18,425.3479663399039,212.1436732764147
21,combine,58,20,418.4787553913544,213.4432652775122
22,combine,48,32,420.69310602293206,213.45893886624552
23,combine,70,16,419.75236041197996,213.6933879584682
24,combine,66,16,414.5144208124136,215.42530613286155
25,combine,54,20,411.39674879018014,217.26693821196656
26,combine,50,20,407.7730347882425,218.81599906755955
27,combine,44,32,409.26520546883245,219.26922396737703
28,combine,46,20,402.6076512468313,221.52163209963817
29,combine,40,36,402.1094536440546,222.96751092891304
30,combine,42,24,393.52607878526186,228.47608035924483
31,dispatch,100,22,490.60219064896324,181.94808278764998
32,dispatch,98,22,489.6896846800649,182.7304490974971
33,dispatch,96,22,484.2206942451137,184.65893974109574
34,dispatch,94,24,484.80534117553776,184.70661190091346
35,dispatch,92,38,483.70282053559623,185.55102056386517
36,dispatch,90,26,481.9244974716161,185.98073447237212
37,dispatch,86,26,477.98999619593695,186.30334674095624
38,dispatch,88,26,475.0064635354868,186.97338840182942
39,dispatch,84,26,474.7592884123951,188.13191901664348
40,dispatch,78,16,476.33738632407113,188.60930630138944
41,dispatch,82,16,474.4345051511233,189.90106120401495
42,dispatch,80,16,468.1380776319567,190.32032696568237
43,dispatch,74,16,468.62186340759195,190.96293832574568
44,dispatch,76,16,466.137020303606,191.54155132721883
45,dispatch,54,40,466.49119578212884,191.60685733873015
46,dispatch,72,16,465.88905029675425,192.83918336946138
47,dispatch,50,42,461.71164307120665,193.2532249056563
48,dispatch,60,24,461.5383223848078,193.26367426891719
49,dispatch,52,42,461.8862196251399,193.33093780644083
50,dispatch,58,26,461.4459553254968,193.568652989913
51,dispatch,70,20,462.0505355734803,194.13093827208692
52,dispatch,56,38,462.01195637865635,194.22693885102564
53,dispatch,62,24,463.9638978292269,194.4868564605713
54,dispatch,64,24,456.97011025482146,194.5234272552996
55,dispatch,68,16,463.22344856540747,194.56783606081595
56,dispatch,66,18,458.7543820189276,194.65077501170492
57,dispatch,48,44,456.88962321396343,196.54791756552092
58,dispatch,46,46,449.12415337700617,198.5782847112539
59,dispatch,44,48,443.9616968999852,202.13289710940148
60,dispatch,42,50,432.11117967556703,208.07444988464823
61,dispatch,40,54,419.5735058614465,213.68685760060137
